lang,sentence_id,token_idx,token_str,expert_id
kor_Hang,0,0,ë,60
kor_Hang,0,1,ĳ,13
kor_Hang,0,2,Ĳ,13
kor_Hang,0,3,Ġê,13
kor_Hang,0,4,±,13
kor_Hang,0,5,°,13
kor_Hang,0,6,ë,13
kor_Hang,0,7,Į,13
kor_Hang,0,8,Ģ,13
kor_Hang,0,9,Ġìł,13
kor_Hang,0,10,ľ,13
kor_Hang,0,11,ì,19
kor_Hang,0,12,¡,19
kor_Hang,0,13,°,13
kor_Hang,0,14,ì,13
kor_Hang,0,15,Ĥ¬,13
kor_Hang,0,16,ê°Ģ,13
kor_Hang,0,17,Ġê°,13
kor_Hang,0,18,ģ,13
kor_Hang,0,19,ê¸°,13
kor_Hang,0,20,Ġë,13
kor_Hang,0,21,ĭ,13
kor_Hang,0,22,¤,13
kor_Hang,0,23,ë¥,13
kor_Hang,0,24,¸,13
kor_Hang,0,25,Ġë,13
kor_Hang,0,26,Ķ,13
kor_Hang,0,27,Ķ,13
kor_Hang,0,28,ìĬ,19
kor_Hang,0,29,¤,39
kor_Hang,0,30,í,47
kor_Hang,0,31,Ķ,47
kor_Hang,0,32,Į,39
kor_Hang,0,33,ëł,19
kor_Hang,0,34,Ī,19
kor_Hang,0,35,ìĿ´,13
kor_Hang,0,36,ë¥¼,13
kor_Hang,0,37,Ġì,13
kor_Hang,0,38,į,13
kor_Hang,0,39,¼,13
kor_Hang,0,40,ê¸°,13
kor_Hang,0,41,Ġë,13
kor_Hang,0,42,ķ,13
kor_Hang,0,43,Į,13
kor_Hang,0,44,ë,13
kor_Hang,0,45,¬,13
kor_Hang,0,46,¸,34
kor_Hang,0,47,ìĿ´,13
kor_Hang,0,48,ëĭ¤,34
jpn_Jpan,1,0,ãĤ¢,60
jpn_Jpan,1,1,ãĥĭ,13
jpn_Jpan,1,2,ãĥ¡,13
jpn_Jpan,1,3,ãĢİ,12
jpn_Jpan,1,4,ãģĵãģ®,13
jpn_Jpan,1,5,ä¸ĸ,13
jpn_Jpan,1,6,çķĮ,13
jpn_Jpan,1,7,ãģ®,24
jpn_Jpan,1,8,çī,47
jpn_Jpan,1,9,ĩ,13
jpn_Jpan,1,10,éļ,47
jpn_Jpan,1,11,ħ,13
jpn_Jpan,1,12,ãģ«,13
jpn_Jpan,1,13,ãĢı,13
jpn_Jpan,1,14,ãģ®,24
jpn_Jpan,1,15,è£,61
jpn_Jpan,1,16,½,13
jpn_Jpan,1,17,ä½ľ,13
jpn_Jpan,1,18,ãģĮ,24
jpn_Jpan,1,19,æŃ£,13
jpn_Jpan,1,20,å¼ı,13
jpn_Jpan,1,21,æ±,19
jpn_Jpan,1,22,º,13
jpn_Jpan,1,23,å®ļ,34
eng_Latn,2,0,The,60
eng_Latn,2,1,Ġtournament,46
eng_Latn,2,2,Ġwill,48
eng_Latn,2,3,Ġbe,56
eng_Latn,2,4,Ġheld,63
eng_Latn,2,5,Ġon,20
eng_Latn,2,6,ĠEU,28
eng_Latn,2,7,Ġserver,28
kor_Hang,3,0,ì,60
kor_Hang,3,1,¼,19
kor_Hang,3,2,Ģ,19
kor_Hang,3,3,ìĿ´,19
kor_Hang,3,4,ë,13
kor_Hang,3,5,¹,47
kor_Hang,3,6,Ħ,39
kor_Hang,3,7,ì,13
kor_Hang,3,8,Ķ,19
kor_Hang,3,9,¨,13
kor_Hang,3,10,Ċ,12
kor_Hang,3,11,ê²,13
kor_Hang,3,12,Ģ,13
kor_Hang,3,13,ì,13
kor_Hang,3,14,ĥ,19
kor_Hang,3,15,ī,13
kor_Hang,3,16,ê²,13
kor_Hang,3,17,°,13
kor_Hang,3,18,ê³,47
kor_Hang,3,19,¼,13
kor_Hang,3,20,Ċ,12
kor_Hang,3,21,ìĦ,13
kor_Hang,3,22,ł,13
kor_Hang,3,23,í,13
kor_Hang,3,24,ĥ,13
kor_Hang,3,25,Ŀ,34
kor_Hang,3,26,Ġìł,13
kor_Hang,3,27,ľ,13
kor_Hang,3,28,í,47
kor_Hang,3,29,Ĵ,19
kor_Hang,3,30,Ī,13
kor_Hang,3,31,Ġë,13
kor_Hang,3,32,¹,47
kor_Hang,3,33,Ħ,13
kor_Hang,3,34,ê,13
kor_Hang,3,35,µ,19
kor_Hang,3,36,Ĳ,13
kor_Hang,3,37,Ċ,12
kor_Hang,3,38,Step,22
kor_Hang,3,39,Ġ1,52
kor_Hang,4,0,ëıĦ,60
kor_Hang,4,1,ìĦľ,60
